Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation					
Assay199	51,67	335	0,56	44	5,8	40	10,8	27	6,27	271,6					
Assay200	47,37	490	0,79	44	5,9	52	16,7	27	6,27	271,6					
Assay201	58,65	650	0,91	44	6,2	50	15,5	27	6,27	271,6					
Assay202	51,83	510	0,65	43	6	42	12,6	26	6,27	271,6					
Assay203	52,97	655	0,68	44	6,1	50	12,8	27	6,27	271,6					
Assay204	58,22	620	0,75	45	7,5	51	12,9	29	6,27	271,6					
Assay205	52,7	735	0,78	45	6,8	50	14,8	30	6,27	271,6					
Assay206	61,2	595	1,02	45	7,5	50	16,7	29	6,27	271,6					
Assay207	55,37	540	0,68	41	5,9	48	12,3	29	6,27	271,6					
Assay208	51,81	520	0,6	42	5,4	43	11,6	29	6,27	271,6					
Assay209	53,81	540	0,72	41	5,7	48	13,4	29	6,27	271,6					
Assay210	57,37	625	1,18	46	8,5	50	20,5	27	6,27	271,6					
Assay211	54,14	560	0,88	46	7,4	58	16,2	27	6,27	271,6					
Assay212	56,4	605	1,11	46	7,8	63	19,7	27	6,27	271,6					
Assay213	51,61	545	0,58	46	4,4	45	11,2	29	6,27	271,6					
Assay214	51,67	390	0,59	46	5,6	50	11,4	28	6,27	271,6					
Assay215	48,37	540	0,6	45	5	55	12,3	29	6,27	271,6					
Assay216	51,2	620	0,73	45	7,3	48	14,2	29	6,27	271,6					
Assay217	49,27	485	0,54	45	5,4	38	11	29	6,27	271,6					
Assay218	51,45	510	0,64	46	5	43	12,4	29	6,27	271,6					
Assay219	54,15	805	1,06	48	8,5	63	19,5	29	6,27	271,6					
Assay220	59,66	885	1,22	48	8,4	67	20,5	29	6,27	271,6					
Assay221	54,55	745	1,1	48	8	60	20,2	29	6,27	271,6					
Assay222	52,94	505	0,85	46	6,2	47	16	31	6,27	271,6					
Assay223	50,99	395	0,72	46	5,4	49	14,2	31	6,27	271,6					
Assay224	51,43	490	0,83	46	5,7	45	16,1	31	6,27	271,6					
Assay225	49,58	795	0,6	44	4,6	50	12	27	6,27	271,6					
Assay226	55,29	605	0,76	44	6,4	48	13,8	27	6,27	271,6					
Assay227	53,76	595	0,76	43	4,8	40	14,1	27	6,27	271,6					
Assay228	54,88	810	0,88	49	7,1	40	16	27	6,27	271,6					
Assay229	52,59	850	0,89	49	7,6	55	17	27	6,27	271,6					
Assay230	50,76	525	0,74	49	5,4	38	14,5	27	6,27	271,6					
Assay231	55,38	385	0,88	46	6,7	32	15,8	29	6,27	271,6					
Assay232	51,19	520	0,77	46	7,4	52	15,1	29	6,27	271,6					
Assay233	52,9	430	0,86	46	6,5	56	16,2	29	6,27	271,6					
Assay234	68,01	665	1,1	48	7,3	60	16,1	29	6,27	271,6					
