Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Plot size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sowing density]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Characteristics[Experimental unit type]	Characteristics[Replication]
Source9	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH009			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample23	plot	2
Source9	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH009			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample24	plot	3
Source10	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH010			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample25	plot	1
Source10	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH010			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample26	plot	2
Source10	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH010			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample27	plot	3
Source11	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH011			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample28	plot	1
Source11	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH011			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample29	plot	2
Source11	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH011			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample30	plot	3
Source12	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH012			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample31	plot	1
Source12	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH012			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample32	plot	2
Source12	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH012			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample33	plot	3
Source13	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH013			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample34	plot	1
Source13	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH013			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample35	plot	2
Source13	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH013			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample36	plot	3
Source14	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH016			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample37	plot	1
Source14	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH016			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample38	plot	2
