Assay Name	LD	LDV	SD	SDV	FT10	FT16	FT22	Seed Dormancy	Emco5	Emwa1	Emoy*	Hiks1	Noco2	Li7	B11	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe56	Co59	Ni60	Cu65	Zn66	As75	Se82	Mo98	Cd114	avrPphB	avrRpm1	avrRpt2	avrB	0W	2W	4W	8W	FLC	FRI	8W GH FT	8W GH LN	0W GH FT	0W GH LN	FT Field	FT Diameter Field	FT GH	FT Duration GH	LC Duration GH	LFS GH	MT GH	RP GH	At1	At1 CFU2	As	As CFU2	Bs	Bs CFU2	At2	At2 CFU2	As2	As2 CFU2	FW 	DW 	LES	YEL 	LY 	LN10	LN16	LN22	Silique 16	Silique 22	Germ 10	Germ 16	Germ 22	Width 10	Width 16	Width 22	Chlorosis 10	Chlorosis 16	Chlorosis 22	Anthocyanin 10	Anthocyanin 16	Anthocyanin 22	Leaf serr 10	Leaf serr 16	Leaf serr 22	Leaf roll 10	Leaf roll 16	Leaf roll 22	Rosette Erect 22	Hypocotyl length	Trichome avg C	Trichome avg JA	Aphid number	Bacterial titer	Seedling Growth	Vern Growth	After Vern Growth	Secondary Dormancy	Germ in dark	DSDS50	Seed bank 133-91	Storage 7 days	Storage 28 days	Storage 56 days
assay121	11.1606	1.49071	0	3.98609	57	60	60	37																																																													20	50	51	1.5	1.4	5	3	2	3.1	8.4	9.7	0	1	0	0	0	0	0.75	0.75	1	0	0	0	1															
assay1217																																																																																													0.69														
assay648																																														159.232	25.218	22.2447	21.3999	66.1626	43.6478	23.3408	44.3696																																																						
assay947																																0	0	0	0																			2	2.796	2.667	5.075	8.333	2.896	1.5	4.376	2.167	5.237																															24.8	36	21.5	14.1										
assay45	1.46249	24.3333	11.9783	61.2	51	36	27	10																																																													17	9	11	1.1	0.7	5	3	2	4.6	8.5	6.5	0	0	1	1	0	0	0	0	0	0	1	0	0															
assay377									1	0	0	1	1																																																																																														
assay368									1	1	1	1	1																																																																																														
assay1193																																																																																													4.45														
assay188	1.57233	25	9.89461	69																																																																																																							
assay389																																				24.5	16	17.8	17.2	0.018	0.243	25.2	15	25.2	8.7																																																														
assay634																																														189.574	25.7385																																																												
assay3	0	47		13.78	98	151	250	2																																																													31	79	178	1.4	0.9	5	4	4	2.4	7.8	7.7	1	1	1	0	0	1	0	0	0	0	0	0	1															
assay110	2.91071	24.6	7.93025	2	61	51	41																																																																																																				
assay682																																														176.566	39.6814	63.244	33.7558	110.32	100.115	10.7429	44.0541																																																						
assay563																																				74	43.8	30.9	28.6	5.958	1.8633	29.2	13																																																																
assay1104																																																																																																			0.00980668	0.0580288	0	95.5487	33.2444	-3.46e-20	0.765306	39.791	98.75
assay583																																														153.283	37.939	26.5923	21.0746	64.646	47.7685	16.7447	38.0255																																																						
assay671																																														180.59	32.181	92.2434	17.9388	120.382	110.102	11.6864	28.7373																																																						
assay871																																0	1	1	1																			1.5	3.42	0.333	3.794	7	1.449	3.167	5.061	1.5	4.485																															18	28	59	12.8										
assay1037																																																																																																		0.00892783	0.00156395	0.0626933	1.69118	2.5431	4.05943	0	90.25	100	100
assay604																																														163.525	31.8109	26.1377	20.175	68.5261	46.1646	22.5222	42.5834																																																						
assay40	10.7815	30.5	0	6.91416	51	61	72	33																																																													15	45	89	1.5	1.2	5	3	2	3.6	7.3	9.2	0	1	0	0	0	1	0	0.75	1	1	1	0	1															
assay1042																																																																																																			0.00308827	0.0643379	2.38095	-5.07e-15	3.70525	0	95.25	100	100
assay253																																																																0.3471	0.0271	1	0	1																																							
assay218																																																																0.4683	0.0355	0	0	0																																							
assay419																																				125	125	76	42	0.951	1.8848			200																																																															
assay243																																																																0.4897	0.0314	0	1	1																																							
assay1088																																																																																																		0.00698768	0.00118837	0.107253	1.77924	0	52.301	-22.8998	0.3075	11.5	58.7685
assay936																																																						4.667	5.513	3.167	3.284	6.333	5.141	2.5	4.257	1.5	4.847																																												
assay512																																				37.6	24.8	22.2	16.4	1.106	1.494	25.3	14	29.4	13																																																														
assay798														6.20591	88.1743	350.8	12985.6	8643.93	10825.2	30890.2	27376.9	93.7183	66.0522	0.895456	2.82238	0.718778	62.8209	0.20429	6.01349	3.96498	3.23137																																																																												
assay888																																0	1	1	1																			5.667	3.905	7.5	3.091	9.5	2.397	4.333	5.237	6.333	5.838																															14.3	14.3	30.3	14.7										
assay801														7.15265	72.9876	534.653	12516	7063.76	9244.37	27109.2	27232.3	117.526	59.0094	1.35202	3.17926	1.30293	68.9331	0.243594	5.6417	3.78513	3.96686																																																																												
assay440																																				24.7	17.4	17.4	14.3	0.203	1.1036	24.3	11.1	22.8	10																																																														
assay770														6.54445	86.7946	904.067	13502.1	9429.25	12079.9	33886.5	26843.3	111.142	58.1783	1.32304	3.10332	0.920254	64.8759	0.248364	6.98014	2.21931	2.58245																																																																												
assay1210																																																																																													1.02														
assay414																																				125	125	102.4		1.846	2.115			200																																																															
assay811														5.74506	81.1996	607.228	13027.7	6753.18	10167.2	34531	28231.7	111.873	61.2958	1.04466	2.94194	1.09694	78.0883	0.173365	5.33383	1.05054	3.64257																																																																												
assay578																																														174.899	31.2103	103.574	12.3641	115.924	116.162	-0.492884	11.8976																																																						
assay1112																																																																																																		0.00620613	0.00209178	0.0528131			66.7748	-43.1652	0	4.75	31.5769
assay318									1	0	1	1	0																																																																																														
assay544																																					125	69.4	31.4	2.07	0.723	34.4	22																																																																
assay785														6.07224	74.8292	596.563	12687.5	8710.26	11675.8	28691.9	27958.6	115.764	66.8647	1.3108	3.03548	0.91007	87.7571	0.163619	7.54472	0.473442	3.46722																																																																												
assay944																																1	1	0	1																			0.5	5.331	2	4.429	8.167	3.164	0.333	4.295	0	5.067																															22	36	15	15.6										
assay883																																0	0	1	0																			3.333	4.269	1.5	5.291	6.667	3.713	2.333	5.303	1.333	4.319																															44.3	33.3	38.8	13.4										
assay350										1	1	0	1																																																																																														
assay1200																																																																																													5.77														
assay453																																				125	111.4	67.3	33.3	1.793	1.7159	28.1	24.2	90.5	70.8																																																														
assay702																																														166.058	33.0282	27.5456	21.416	66.5619	49.1278	17.0362	38.7537																																																						
assay652																																														180.723	34.3784	92.9183	18.8533	133.784	111.972	1.68512	36.0298																																																						
assay378									1	0		0	1																																																																																														
assay964																																																						2.833	5.468	1.167	4.851	6.333	2.623	0.167	3.815	1.333	4.82																																												
assay716																																														162.387	25.4153	27.0308	20.4696	66.3922	46.9446	21.2151	41.0036																																																						
assay1036																																																																																																		0.00536291	0.0036819	0.0894457	0.532677	84.4316	94.0411	9.80357	0	0	0.5
assay387									1	1	0	1																																																																																															
assay322									0	1	1	0	1																																																																																														
assay317									1		0	0	0																																																																																														
assay625																																														160.55	28.3175	45.6066	28.0164	85.6798	73.5789	12.0083	40.0544																																																						
assay101					51	29	23.8																																																																																																				
assay815														6.26983	73.3123	586.547	12320.7	8774.78	11282.4	26525.8	25091.2	96.3807	62.481	1.58657	3.42578	0.961705	60.7562	0.318137	6.62669	2.38345	4.6522																																																																												
assay595																																														179.799	21.671																																																												
assay598																																														182.328	48.3825	24.7756	24.5358	66.9909	49.2125	17.6552	41.5071																																																						
assay28	140.354	0.957427	108.708	53.5	73	85	99	76																																																													41	41	77	1.4	0.9	7	3	2	5	8.5	10	0	0	1	0	0	1	1	0.75	1	0	1	0	1															
assay638																																														168.641	17.6955																																																												
assay681																																														181.484	45.994	74.4652	27.6007	107.756	102.199	5.98704	40.348																																																						
assay629																																														150.914	30.7506	23.2136	17.9194	58.8501	41.0774	17.8695	35.7736																																																						
assay736																																														156.875	30.2608	35.4555	11.6637	64.8127	47.0942	17.6889	29.3878																																																						
assay1212																																																																																													0.45														
assay1167																																																																																													0.86														
assay200																																																																0.2332	0.0234	1	0	1																																							
assay476																																				43.1	24.4	18.8	19	0.849	0.934	25.7	11.7																																																																
assay1145																																																																																													4.03														
assay1119																																																																																																		0.0109144	0.0100823	0.199848	0.15873	94.8148	45.7694	1.90476	-1.22e-14	-2.62e-14	83.9789
assay136	200	1.5	200	200	93	122	250																																																														43	84	224			7	3	2	2.3	7.5	11.2	0	1	1	0	0	0	0.5	1	1.5	0	0	0	1															
assay830														6.68487	92.4676	812.197	11468	7573.13	11494.6	36556.2	28043.6	99.9706	62.4274	1.50526	3.10274	0.88028	69.7013	0.161554	6.62902	0.463806	4.18738																																																																												
assay1073																																																																																																		0.00957579	0.00502153	0.122466			146.961	-1.14569	0	0	0
assay1074																																																																																																		0.00779191	0.00388476	0.0746892	1.80567	17.7656	13.663	0	26.4105	97.5	100
assay149	0	35			99	180	250																																																														48	116	156			5	3	2	2.2	6	9.5	1	1	1	0	1	1	1	1	0.75	0	0	0	1															
assay401																																				22.9	15.2	20.8	16.8	0.111	1.3907	21.9	11.2	21.8	8																																																														
assay715																																														159.145	36.2145	24.7577	19.5358	62.1424	44.2303	17.5641	37.2447																																																						
assay564																																				24.8	18.6		17.9	0.017	0.709	27	15.6	23.9	11.1																																																														
assay999																																																						2	4.253	0.167	5.054	0.667	4.834	0.833	4.551	0	3.909																																												
assay1128																																																																																																		0.0104052	0.00722568	0.158669	2.26862	-1.81e-14	20.0464	6.61e-21	48.3375	55.5	96.75
assay870																																1	1	1																				1.5	2.719	1	4.824	2	5.093	0.667	4.325	2.167	4.157																															78	55	14.8	8.8										
assay1176																																																																																													0.59														
assay1014																																																						2.833	5.415	2.167	5.227	4.833	3.429	0.5	3.651	4.333	3.272																																												
assay144	1.95078	36.3333	5.0351	3.39935	61	41	26																																																														19	15	10			7	3	2	2.3	7	12.2	0	1	1	0	1	1	0.75	0.75	1	1	0	0	0															
assay335									1	1	0	1	0																																																																																														
assay329									1	1	1	1	1																																																																																														
assay229																																																																0.9394	0.0619	0	0	0																																							
assay914																																1	1	0	1																			2.333	4.817	3	3.413	5.167	4.744	1.333	4.507	0	2.905																															28.8	48.7	34.8	11.5										
assay2	26	2.35702	5.08811	58	60	41	24																																																														24	13	13			5	3	2	2.4	8.2	6.2	0	1	1	0	0	0	0.5	0	0	1	0	0	0															
assay240																																																																0.4429	0.0345	0	0	0																																							
